,Rsquared,Resample,Modelo
2,0.3999749619923396,Rep6,1.0
3,0.3960534382768248,Rep6,1.0
4,0.3174176303020507,Rep6,1.0
5,0.4499596627140944,Rep6,2.0
6,0.43668993566868575,Rep6,2.0
7,0.42343271872222965,Rep6,2.0
8,0.4223228282538859,Rep6,2.0
9,0.3851968387526786,Rep6,2.0
0,0.42412854539699196,Rep7,1.0
1,0.41341227302094774,Rep7,1.0
2,0.3999749619923396,Rep7,1.0
3,0.3960534382768248,Rep7,1.0
4,0.3174176303020507,Rep7,1.0
5,0.4499596627140944,Rep7,2.0
6,0.43668993566868575,Rep7,2.0
7,0.42343271872222965,Rep7,2.0
8,0.4223228282538859,Rep7,2.0
9,0.3851968387526786,Rep7,2.0
0,0.42412854539699196,Rep8,1.0
1,0.41341227302094774,Rep8,1.0
2,0.3999749619923396,Rep8,1.0
3,0.3960534382768248,Rep8,1.0
4,0.3174176303020507,Rep8,1.0
5,0.4499596627140944,Rep8,2.0
6,0.43668993566868575,Rep8,2.0
7,0.42343271872222965,Rep8,2.0
8,0.4223228282538859,Rep8,2.0
9,0.3851968387526786,Rep8,2.0
0,0.42412854539699196,Rep9,1.0
1,0.41341227302094774,Rep9,1.0
2,0.3999749619923396,Rep9,1.0
3,0.3960534382768248,Rep9,1.0
4,0.3174176303020507,Rep9,1.0
5,0.4499596627140944,Rep9,2.0
6,0.43668993566868575,Rep9,2.0
7,0.42343271872222965,Rep9,2.0
8,0.4223228282538859,Rep9,2.0
9,0.3851968387526786,Rep9,2.0
0,0.42412854539699196,Rep10,1.0
1,0.41341227302094774,Rep10,1.0
2,0.3999749619923396,Rep10,1.0
3,0.3960534382768248,Rep10,1.0
4,0.3174176303020507,Rep10,1.0
5,0.4499596627140944,Rep10,2.0
6,0.43668993566868575,Rep10,2.0
7,0.42343271872222965,Rep10,2.0
8,0.4223228282538859,Rep10,2.0
9,0.3851968387526786,Rep10,2.0
0,0.42412854539699196,Rep11,1.0
1,0.41341227302094774,Rep11,1.0
2,0.3999749619923396,Rep11,1.0
3,0.3960534382768248,Rep11,1.0
4,0.3174176303020507,Rep11,1.0
5,0.4499596627140944,Rep11,2.0
6,0.43668993566868575,Rep11,2.0
7,0.42343271872222965,Rep11,2.0
8,0.4223228282538859,Rep11,2.0
9,0.3851968387526786,Rep11,2.0
0,0.42412854539699196,Rep12,1.0
1,0.41341227302094774,Rep12,1.0
2,0.3999749619923396,Rep12,1.0
3,0.3960534382768248,Rep12,1.0
4,0.3174176303020507,Rep12,1.0
5,0.4499596627140944,Rep12,2.0
6,0.43668993566868575,Rep12,2.0
7,0.42343271872222965,Rep12,2.0
8,0.4223228282538859,Rep12,2.0
9,0.3851968387526786,Rep12,2.0
0,0.42412854539699196,Rep13,1.0
1,0.41341227302094774,Rep13,1.0
2,0.3999749619923396,Rep13,1.0
3,0.3960534382768248,Rep13,1.0
4,0.3174176303020507,Rep13,1.0
5,0.4499596627140944,Rep13,2.0
6,0.43668993566868575,Rep13,2.0
7,0.42343271872222965,Rep13,2.0
8,0.4223228282538859,Rep13,2.0
9,0.3851968387526786,Rep13,2.0
0,0.42412854539699196,Rep14,1.0
1,0.41341227302094774,Rep14,1.0
2,0.3999749619923396,Rep14,1.0
3,0.3960534382768248,Rep14,1.0
4,0.3174176303020507,Rep14,1.0
5,0.4499596627140944,Rep14,2.0
6,0.43668993566868575,Rep14,2.0
7,0.42343271872222965,Rep14,2.0
8,0.4223228282538859,Rep14,2.0
9,0.3851968387526786,Rep14,2.0
0,0.42412854539699196,Rep15,1.0
1,0.41341227302094774,Rep15,1.0
2,0.3999749619923396,Rep15,1.0
3,0.3960534382768248,Rep15,1.0
4,0.3174176303020507,Rep15,1.0
5,0.4499596627140944,Rep15,2.0
6,0.43668993566868575,Rep15,2.0
7,0.42343271872222965,Rep15,2.0
8,0.4223228282538859,Rep15,2.0
9,0.3851968387526786,Rep15,2.0
0,0.42412854539699196,Rep16,1.0
1,0.41341227302094774,Rep16,1.0
2,0.3999749619923396,Rep16,1.0
3,0.3960534382768248,Rep16,1.0
4,0.3174176303020507,Rep16,1.0
5,0.4499596627140944,Rep16,2.0
6,0.43668993566868575,Rep16,2.0
7,0.42343271872222965,Rep16,2.0
8,0.4223228282538859,Rep16,2.0
9,0.3851968387526786,Rep16,2.0
0,0.42412854539699196,Rep17,1.0
1,0.41341227302094774,Rep17,1.0
2,0.3999749619923396,Rep17,1.0
3,0.3960534382768248,Rep17,1.0
4,0.3174176303020507,Rep17,1.0
5,0.4499596627140944,Rep17,2.0
6,0.43668993566868575,Rep17,2.0
7,0.42343271872222965,Rep17,2.0
8,0.4223228282538859,Rep17,2.0
9,0.3851968387526786,Rep17,2.0
0,0.42412854539699196,Rep18,1.0
1,0.41341227302094774,Rep18,1.0
2,0.3999749619923396,Rep18,1.0
3,0.3960534382768248,Rep18,1.0
4,0.3174176303020507,Rep18,1.0
5,0.4499596627140944,Rep18,2.0
6,0.43668993566868575,Rep18,2.0
7,0.42343271872222965,Rep18,2.0
8,0.4223228282538859,Rep18,2.0
9,0.3851968387526786,Rep18,2.0
0,0.42412854539699196,Rep19,1.0
1,0.41341227302094774,Rep19,1.0
